"","term","estimate","std.error","statistic","p.value","variable","BH"
"1","SEXM",-0.570554961490028,0.218474651933835,-2.61153848485278,0.0123623526122604,"mevalonate",0.0902839410289121
"2","DietCoconutOil",0.158760066944649,0.486400959420777,0.326397520131756,0.745706981386416,"mevalonate",0.907018297467994
"3","DietFishOil",0.830858794801791,0.486400959420777,1.70817671862984,0.0948142174220227,"mevalonate",0.324325744131472
"4","DietKetogenic",0.482043801801792,0.486400959420777,0.991042045590999,0.327209289448464,"mevalonate",0.621242829297259
"5","DietLard",-0.136779677544159,0.502288110392488,-0.27231318980909,0.786684600862005,"mevalonate",0.92724196170842
"6","DietMilkFat",0.323629219871795,0.489893113713444,0.66061189841729,0.512385002261581,"mevalonate",0.771938159741436
"7","DietOliveOil",-0.00623671605535125,0.486400959420777,-0.0128221705458356,0.989828975668714,"mevalonate",0.996982002426095
"8","DietPalmOil",0.43261496337322,0.486400959420777,0.889420456506485,0.378726153579554,"mevalonate",0.664137224766991
"9","SEXM",0.889218135447293,0.304334302879714,2.92184655831831,0.0055257628501504,"putrescine",0.0515328094946173
"10","DietCoconutOil",0.190235451884411,0.677554561113003,0.280767723815357,0.780235095177024,"putrescine",0.92420048572537
"11","DietFishOil",-1.78320924868702,0.677554561113003,-2.63183122220855,0.0117457407313491,"putrescine",0.0873016757904531
"12","DietKetogenic",0.676530087027268,0.677554561113003,0.998487982895352,0.323628739679802,"putrescine",0.618205366478802
"13","DietLard",-0.104124435695158,0.699685297896072,-0.148816097763174,0.882394485761866,"putrescine",0.963989466721553
"14","DietMilkFat",0.0736742383919405,0.682419117860433,0.107960396278066,0.914529296614074,"putrescine",0.974010876881656
"15","DietOliveOil",0.155233526027268,0.677554561113004,0.229108524887309,0.819870803011687,"putrescine",0.941862638445277
"16","DietPalmOil",0.266259560598697,0.677554561113004,0.392971394305601,0.696282116728337,"putrescine",0.884652820555899
"17","SEXM",-0.112815931131054,0.224236372361162,-0.503111649297239,0.617453246863598,"spermidine",0.838336521733507
"18","DietCoconutOil",-0.266614771048026,0.499228563533928,-0.534053518814546,0.596054893542147,"spermidine",0.825751932248334
"19","DietFishOil",-0.0567051847623114,0.499228563533928,-0.113585617699652,0.910094964182514,"spermidine",0.97200460887977
"20","DietKetogenic",-0.457994351048025,0.499228563533928,-0.917404140111665,0.364048026593158,"spermidine",0.651134513484798
"21","DietLard",0.00276605853276417,0.515534698225148,0.0053654168037321,0.995743852661048,"spermidine",0.998827185353099
"22","DietMilkFat",-0.0206190264578756,0.502812814628422,-0.0410073607076085,0.967479845071111,"spermidine",0.990815625146472
"23","DietOliveOil",-0.0498384211908829,0.499228563533928,-0.099830868726917,0.920942592193942,"spermidine",0.976068742907272
"24","DietPalmOil",-1.14656796361945,0.499228563533929,-2.29667941173709,0.0265706008426047,"spermidine",0.14970962195188
"25","SEXM",0.187250218903134,0.354553776369445,0.52812924691012,0.60012477728155,"1-methyladenine",0.828181400623048
"26","DietCoconutOil",-0.0666511068398456,0.789360667088214,-0.0844368228856748,0.933101030133024,"1-methyladenine",0.97953283436983
"27","DietFishOil",0.918338986445869,0.789360667088214,1.16339592880075,0.251084260554472,"1-methyladenine",0.547292609260017
"28","DietKetogenic",0.161694508017297,0.789360667088214,0.204842367702149,0.838661852275066,"1-methyladenine",0.951209546736222
"29","DietLard",-0.440912929475784,0.815143289112839,-0.540902360805364,0.591366137444509,"1-methyladenine",0.822611501282328
"30","DietMilkFat",0.974072005173992,0.795027944647282,1.22520473869147,0.227167094844324,"1-methyladenine",0.517264780873115
"31","DietOliveOil",-0.132542510982703,0.789360667088214,-0.167911217912116,0.867440385763439,"1-methyladenine",0.959660602299134
"32","DietPalmOil",0.356621463160155,0.789360667088214,0.451785195322255,0.653694417461088,"1-methyladenine",0.859563048305169
"33","SEXM",0.061723953176638,0.558626980475607,0.110492252135919,0.912533098460045,"1-methylnicotinamide",0.973276204684342
"34","DietCoconutOil",1.2994268288256,1.24369896853735,1.0448081583229,0.301949828232189,"1-methylnicotinamide",0.597344823005822
"35","DietFishOil",1.6951487958256,1.24369896853735,1.36298962908941,0.179980995444792,"1-methylnicotinamide",0.456292913761456
"36","DietKetogenic",1.02147567011131,1.24369896853735,0.821320669995105,0.415994207249831,"1-methylnicotinamide",0.695173764353692
"37","DietLard",1.68327778778917,1.28432148971832,1.31063585034177,0.196938115908868,"1-methylnicotinamide",0.477506645891847
"38","DietMilkFat",1.94786415680037,1.25262820399144,1.555021793852,0.127271055468102,"1-methylnicotinamide",0.381559647432433
"39","DietOliveOil",0.740214471825601,1.24369896853735,0.59517173411837,0.554848160533688,"1-methylnicotinamide",0.798493665810101
