"","term","estimate","std.error","statistic","p.value","variable","BH"
"1","SEXM",0.0809775936113121,0.0222315324909882,3.64246565746817,0.00057101788483459,"C14.Cer",0.00152271435955891
"2","DietCoconutOil",0.781194244472144,0.0507678587425588,15.3875752064616,2.55795847267465e-22,"C14.Cer",2.9331257153336e-20
"3","DietFishOil",0.204824894025812,0.0507678587425588,4.03453876328464,0.000159537880314699,"C14.Cer",0.000516597634591235
"4","DietKetogenic",0.198044095194062,0.0507678587425588,3.90097396461674,0.000248118712143746,"C14.Cer",0.000742198582412597
"5","DietLard",0.313987866300561,0.0507678587425588,6.18477662989053,6.36964888980994e-08,"C14.Cer",4.86924270687693e-07
"6","DietMilkFat",0.660575312939403,0.0507678587425588,13.0116835592603,5.50985071299717e-19,"C14.Cer",2.70769806467289e-17
"7","DietOliveOil",0.414041937564888,0.0507678587425588,8.15559190046744,2.98678536314595e-11,"C14.Cer",5.40765349959055e-10
"8","DietPalmOil",0.485433212782959,0.0507678587425588,9.56182168809928,1.34034534121082e-13,"C14.Cer",3.5467599798194e-12
"9","SEXM",0.105073406073463,0.0277488476835907,3.78658628536847,0.000360067899332799,"C16.Cer",0.00102366411049986
"10","DietCoconutOil",0.500780508494234,0.0633671826285645,7.90283689002914,7.98922600865114e-11,"C16.Cer",1.30871130808381e-09
"11","DietFishOil",0.144303400090504,0.0633671826285645,2.27725762933723,0.0264114981437913,"C16.Cer",0.0400244729579921
"12","DietKetogenic",0.206193803843548,0.0633671826285646,3.25395252385105,0.00188594360503881,"C16.Cer",0.00425682463832265
"13","DietLard",0.286677375455193,0.0633671826285646,4.52406693123145,2.98709100978219e-05,"C16.Cer",0.000114173256373897
"14","DietMilkFat",0.504125567760168,0.0633671826285646,7.95562540179778,6.50406017907403e-11,"C16.Cer",1.11869835080073e-09
"15","DietOliveOil",0.467029742421257,0.0633671826285646,7.37021472390238,6.38269731012801e-10,"C16.Cer",8.13202916549643e-09
"16","DietPalmOil",0.497129858364732,0.0633671826285646,7.84522583682988,1.00005456692418e-10,"C16.Cer",1.56372168646326e-09
"17","SEXM",-0.00430809822764724,0.0419494597671801,-0.102697347035152,0.918551441579458,"C18.Cer",0.931151462742133
"18","DietCoconutOil",0.299412598715495,0.0957956564015616,3.12553418351663,0.00275292905795785,"C18.Cer",0.00584572590084877
"19","DietFishOil",-0.300955457082915,0.0957956564015616,-3.14163990715146,0.00262664391389025,"C18.Cer",0.0056122081141506
