Metabolite,Classification,Chain Length,Saturation,Sphingolipid
"ceramide (d18:1/17:0, d17:1/18:0)*",Lipid Metabolism,Long,Mixed Saturation,Yes
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*,Lipid Metabolism,Long,Mixed Saturation,Yes
N-palmitoyl-sphingadienine (d18:2/16:0)*,Lipid Metabolism,Long,Mixed Saturation,Yes
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),Lipid Metabolism,Long,Mixed Saturation,Yes
stearoyl sphingomyelin (d18:1/18:0),Lipid Metabolism,Long,Mixed Saturation,Yes
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),Lipid Metabolism,Long,Mixed Saturation,No
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid Metabolism,Long,Mixed Saturation,No
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid Metabolism,Long,Mixed Saturation,No
1-stearoyl-2-oleoyl-GPC (18:0/18:1),Lipid Metabolism,Long,Mixed Saturation,No
lactosyl-N-stearoyl-sphingosine (d18:1/18:0)*,Lipid Metabolism,Long,Mixed Saturation,Yes
glycosyl-N-stearoyl-sphingosine (d18:1/18:0),Lipid Metabolism,Long,Mixed Saturation,Yes
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Lipid Metabolism,Long,Mixed Saturation,No
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Lipid Metabolism,Long,Mixed Saturation,No
1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*,Lipid Metabolism,Long,Mixed Saturation,No
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid Metabolism,Long,Mixed Saturation,No
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid Metabolism,Long,Mixed Saturation,No
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Lipid Metabolism,Long,Mixed Saturation,No
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,Lipid Metabolism,Long,Mixed Saturation,No
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,Lipid Metabolism,Long,Mixed Saturation,No
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Lipid Metabolism,Long,Mixed Saturation,No
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid Metabolism,Long,Mixed Saturation,No
LAHSA (18:2/OH-18:0)*,Lipid Metabolism,Long,Mixed Saturation,No
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid Metabolism,Long,Mixed Saturation,No
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid Metabolism,Long,Mixed Saturation,No
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Lipid Metabolism,Long,Mixed Saturation,No
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Lipid Metabolism,Long,Mixed Saturation,No
1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid Metabolism,Long,Mixed Saturation,No
