Checklist	ERC000011	ENA default sample checklist				
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)
1861841	feces metagenome	10F-HL_10_18_18_S135_L004	10F-HL_10_18_18_S135_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10F-HL_1_9_19_S196_L004	10F-HL_1_9_19_S196_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10F-HL_2_27_19_S260_L005	10F-HL_2_27_19_S260_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10F-HL_5_22_19_S323_L006	10F-HL_5_22_19_S323_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10F-HL_9_20_18_S62_L003	10F-HL_9_20_18_S62_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10F-HR_10_18_18_S134_L004	10F-HR_10_18_18_S134_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10F-HR_1_9_19_S197_L004	10F-HR_1_9_19_S197_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10F-HR_2_27_19_S259_L005	10F-HR_2_27_19_S259_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10F-HR_5_22_19_S322_L006	10F-HR_5_22_19_S322_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10F-HR_9_20_18_S63_L003	10F-HR_9_20_18_S63_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10M-HL_10_18_18_S137_L004	10M-HL_10_18_18_S137_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10M-HL_1_9_19_S194_L004	10M-HL_1_9_19_S194_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10M-HL_2_27_19_S262_L005	10M-HL_2_27_19_S262_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10M-HL_9_20_18_S60_L003	10M-HL_9_20_18_S60_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10M-HR_10_18_18_S136_L004	10M-HR_10_18_18_S136_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10M-HR_1_9_19_S195_L004	10M-HR_1_9_19_S195_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10M-HR_2_27_19_S261_L005	10M-HR_2_27_19_S261_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	10M-HR_9_20_18_S61_L003	10M-HR_9_20_18_S61_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	11F-HL_10_18_18_S139_L004	11F-HL_10_18_18_S139_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	11F-HL_1_9_19_S192_L004	11F-HL_1_9_19_S192_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	11F-HL_2_27_19_S264_L005	11F-HL_2_27_19_S264_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	11F-HL_5_22_19_S325_L006	11F-HL_5_22_19_S325_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	11F-HL_9_20_18_S76_L003	11F-HL_9_20_18_S76_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	11F-HR_10_18_18_S138_L004	11F-HR_10_18_18_S138_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
