FileType	fastq	Read submission file type										
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	library_construction_protocol
ERS28440877	PRJEB106128	Illumina HiSeq 2500	10F-HL_10_18_18_S135_L004	METAGENOMIC	RANDOM	WGS	10F-HL_10_18_18_S135_L004_R1_001.fastq.gz	f34538d9b78fb85be01d6f0f37ed07fc	10F-HL_10_18_18_S135_L004_R2_001.fastq.gz	8722736d05990a28f7aefdb1350e4795	Shotgun metagenomic library preparation
ERS28440878	PRJEB106128	Illumina HiSeq 2500	10F-HL_1_9_19_S196_L004	METAGENOMIC	RANDOM	WGS	10F-HL_1_9_19_S196_L004_R1_001.fastq.gz	056df0f1e74f8b2565941bade2ebe2bb	10F-HL_1_9_19_S196_L004_R2_001.fastq.gz	3a32c010d67016708be95ccb5e987aa6	Shotgun metagenomic library preparation
ERS28440879	PRJEB106128	Illumina HiSeq 2500	10F-HL_2_27_19_S260_L005	METAGENOMIC	RANDOM	WGS	10F-HL_2_27_19_S260_L005_R1_001.fastq.gz	ea20a695fa27368f9c4c63d4b13fe19c	10F-HL_2_27_19_S260_L005_R2_001.fastq.gz	e0fe687fb21cf41e2644b6cf60e14d7c	Shotgun metagenomic library preparation
ERS28440880	PRJEB106128	Illumina HiSeq 2500	10F-HL_5_22_19_S323_L006	METAGENOMIC	RANDOM	WGS	10F-HL_5_22_19_S323_L006_R1_001.fastq.gz	b815332522f49e06e05fa30b4aa3faa6	10F-HL_5_22_19_S323_L006_R2_001.fastq.gz	c8686718b6154f22348948f6344e3383	Shotgun metagenomic library preparation
ERS28440881	PRJEB106128	Illumina HiSeq 2500	10F-HL_9_20_18_S62_L003	METAGENOMIC	RANDOM	WGS	10F-HL_9_20_18_S62_L003_R1_001.fastq.gz	d9bc73e1d561ab2bd3cbe016d33d561e	10F-HL_9_20_18_S62_L003_R2_001.fastq.gz	c240ca0b6e7a3cf4f253cb6fcf1f967f	Shotgun metagenomic library preparation
ERS28440882	PRJEB106128	Illumina HiSeq 2500	10F-HR_10_18_18_S134_L004	METAGENOMIC	RANDOM	WGS	10F-HR_10_18_18_S134_L004_R1_001.fastq.gz	93eda23d766d7f4b9d3895c14f749d67	10F-HR_10_18_18_S134_L004_R2_001.fastq.gz	7a3252b7b0d9ab6de05da7978d0e4df6	Shotgun metagenomic library preparation
ERS28440883	PRJEB106128	Illumina HiSeq 2500	10F-HR_1_9_19_S197_L004	METAGENOMIC	RANDOM	WGS	10F-HR_1_9_19_S197_L004_R1_001.fastq.gz	afb32248362c1dcfa04990cb1b38ebc0	10F-HR_1_9_19_S197_L004_R2_001.fastq.gz	6420a8ad1d707337c5d9434e42a03c8c	Shotgun metagenomic library preparation
ERS28440884	PRJEB106128	Illumina HiSeq 2500	10F-HR_2_27_19_S259_L005	METAGENOMIC	RANDOM	WGS	10F-HR_2_27_19_S259_L005_R1_001.fastq.gz	cafc6d5f154399131657bcebecb682fd	10F-HR_2_27_19_S259_L005_R2_001.fastq.gz	07ccde2096ce65a67c0541a065140239	Shotgun metagenomic library preparation
ERS28440885	PRJEB106128	Illumina HiSeq 2500	10F-HR_5_22_19_S322_L006	METAGENOMIC	RANDOM	WGS	10F-HR_5_22_19_S322_L006_R1_001.fastq.gz	511c124ff9e95a8f1d7403b1a9a76ed6	10F-HR_5_22_19_S322_L006_R2_001.fastq.gz	6e9a3c563ea5d26989d66d43695cb19f	Shotgun metagenomic library preparation
ERS28440886	PRJEB106128	Illumina HiSeq 2500	10F-HR_9_20_18_S63_L003	METAGENOMIC	RANDOM	WGS	10F-HR_9_20_18_S63_L003_R1_001.fastq.gz	a933473e10a755c7aca63c96c74e63ef	10F-HR_9_20_18_S63_L003_R2_001.fastq.gz	95ec234bcb57965147c2b94726a097a3	Shotgun metagenomic library preparation
