FileType	fastq	Read submission file type									
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	library_construction_protocol
ERS28403471	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB12_control_20251229_124906_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB12_control_20251229_124906_R1.fastq.gz	933df1d2a19a656cf2ce736224ea4227	V2_SB12_control_20251229_124906_R2.fastq.gz	e7fb3fd7bea03fd7c1ceb002a1b71493	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403472	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB12_male_lard_12mo_20251229_125721_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB12_male_lard_12mo_20251229_125721_R1.fastq.gz	67a3424d001c6663b4aaed147ff452f4	V2_SB12_male_lard_12mo_20251229_125721_R2.fastq.gz	4f0293de395d21de736ba52f6e036d19	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403473	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB12_male_lard_4mr_20251229_130639_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB12_male_lard_4mr_20251229_130639_R1.fastq.gz	97d489acd1d7b92efd4cc810fcc7e450	V2_SB12_male_lard_4mr_20251229_130639_R2.fastq.gz	eade5b09c8696490879791435048d510	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403474	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB12_male_lard_9mr_20251229_132247_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB12_male_lard_9mr_20251229_132247_R1.fastq.gz	f714c20d3e452913a5581af95f3c24af	V2_SB12_male_lard_9mr_20251229_132247_R2.fastq.gz	6475da67b295429066acff2a2fdd8053	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403489	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB14_control_20251229_133528_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB14_control_20251229_133528_R1.fastq.gz	7efaff589230a6e34587a47ff94b11d8	V2_SB14_control_20251229_133528_R2.fastq.gz	8c4a29fdfe2766eee4d81de4386d94e9	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403490	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB14_male_lard_12mo_20251229_134756_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB14_male_lard_12mo_20251229_134756_R1.fastq.gz	9e59f7a9f19dea31c05b2757f4b8eb1b	V2_SB14_male_lard_12mo_20251229_134756_R2.fastq.gz	63c7aa34340b56449ed798e5faeaa3b3	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403491	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB14_male_lard_4mr_20251229_140526_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB14_male_lard_4mr_20251229_140526_R1.fastq.gz	52464746d8f20af0ddc98a4f3e17e19a	V2_SB14_male_lard_4mr_20251229_140526_R2.fastq.gz	a161c55af195cffd6154f04e5f840fd4	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403492	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB14_male_lard_9mr_20251229_141954_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB14_male_lard_9mr_20251229_141954_R1.fastq.gz	603aadfe8dd450976275a76941d33da0	V2_SB14_male_lard_9mr_20251229_141954_R2.fastq.gz	b6a83c8a0db0eb1dd075b0ee67e185d5	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403475	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB15_female_keto_12mo_20251229_143247_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB15_female_keto_12mo_20251229_143247_R1.fastq.gz	76127eda174ed3bea728d9277ab7ac31	V2_SB15_female_keto_12mo_20251229_143247_R2.fastq.gz	cfb0eac86f2a84b03551df30d11c0bc1	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
ERS28403476	PRJEB105080	Illumina NovaSeq 6000	mouse_diet_scRNAseq_SB15_female_keto_4mr_20251229_145025_V2	TRANSCRIPTOMIC	cDNA	RNA-Seq	V2_SB15_female_keto_4mr_20251229_145025_R1.fastq.gz	f51ce974db70dc6bd81e6649ea54a4c7	V2_SB15_female_keto_4mr_20251229_145025_R2.fastq.gz	72ed601676e4365a3c3b641f9511982b	10x Genomics Chromium Single Cell 3' Gene Expression (3' v3 chemistry)
